Date,Startup Name,Industry Vertical,SubVertical,City,Investors Name,InvestmentnType, Amount in USD ,,,,
28-03-2016,Schoolkart,ECommerce,Online Marketplace for Schools,Noida,Undisclosed investors,Seed,300000,,,,
29-03-2016,QikShip,Consumer Internet,Mobile based Logistics provider,New Delhi,undisclosed investors,Seed,200000,,,,
29-03-2016,Babygogo,Consumer Internet,Child healthcare experts aggregator mobile app,New Delhi,"Rajul Garg, Daljit Singh, Aditya Vij, Kishore Kumar, Shuchin Bajaj",Seed,300000,,,,
29-03-2016,FixNix,Consumer Internet,GRC SAAS Platform,Chennai,Jay Vijayan,Seed,500000,,,,
29-03-2016,Veritas Finance,Finance,Asset Based Lending platform,Chennai,Sarva Capital,Private Equity,4700000,,,,
30-03-2016,Touchkin,Healthcare,Predictive Healthcare platform,Bengaluru,"Alok Mittal, Amit Gupta, Anuj Srivastava, Himanshu Aggarwal, Raghunandan G, Puneet Agarwal",Seed,400000,,,,
01-04-2016,Dil Mil,Consumer Internet,Matchmaking Mobile App,San Francisco,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,2700000,,,,
04-04-2016,Hungama,Consumer Internet,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private Equity,25000000,,,,
06-04-2016,gear6,Consumer Internet,Online bike service and repairs platform,Bengaluru,Ninestarter,Seed,500000,,,,
06-04-2016,Shipsy,Logistics,Logistics Tech,Gurgaon,DTDC Express Ltd,Private Equity,1000000,,,,
06-04-2016,Petoo,Consumer Internet,Online Food Delivery Platform,Bengaluru,Axilor Ventures,Private Equity,1000000,,,,
06-04-2016,MyGlamm,Consumer Internet,Mobile based on-demand Beauty Services platform,Mumbai,L  Occitane,Private Equity,6000000,,,,
08-04-2016,imedilane,Consumer Internet,Online Health Diagnosis platform,New Delhi,"Mahendra Patel, Nilender Chauhan",Seed,40000,,,,
11-04-2016,Living Local,Consumer Internet,Social discovery platform,Mumbai,Rattan Chadha,Seed,200000,,,,
11-04-2016,PriceRaja,Consumer Internet,Price Comparison Portal,Gurgaon,Prashant Puri,Seed,300000,,,,
11-04-2016,Oyo,Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,100000000,,,,
12-04-2016,MagicX,Consumer Internet,On-Demand Task Management App,Bengaluru,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed,1000000,,,,
13-04-2016,RainCan,Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Seed,150000,,,,
13-04-2016,Hippily,ECommerce,Fashion ECommerce App,Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur",Seed,250000,,,,
13-04-2016,kredX,ECommerce,Invoice discounting  Marketplace,Bengaluru,"Prime Venture Partners,",Seed,750000,,,,
13-04-2016,Legalraasta,Consumer Internet,Online legal Services for Startups,New Delhi,"Pravin Khandelwal, Yatin Kumar Jain",Seed,1000000,,,,
14-04-2016,BeaconsTalk,Technology,contextual mobile advertising,Mumbai,"Rajeev Agrawal, Prashant Gooty",Seed,100000,,,,
15-04-2016,Tapchief,Consumer Internet,Expert Advice Platform,Bengaluru,Vijay Shekhar Sharma,Seed,150000,,,,
15-04-2016,RenewBuy,Consumer Internet,Online Car & Bike Insurance Comparison portal,New Delhi,Mount Nathan Advisors,Seed,1000000,,,,
15-04-2016,Vyomo,Consumer Internet,On-Demand Beauty Service provider,New Delhi,Naturals Salon Chain,Private Equity,15000000,,,,
15-04-2016,NestAway,Consumer Internet,Furnished Home Rental Platform,Bengaluru,Tiger Global,Private Equity,30000000,,,,
18-04-2016,Jugnoo,Consumer Internet,On-demand Delivery & Logistics platform,Chandigarh,Paytm & existing investors,Private Equity,10000000,,,,
19-04-2016,DriversCart,Consumer Internet,on-demand chauffeur provider,Chennai,ah! Ventures,Seed,450000,,,,
19-04-2016,Betaout,ECommerce,customer intelligence and marketing automation platform,Noida,"Stanford Angels, LetsVenture, Chennai Angels, Hyderabad Angels, Mumbai Angels",Private Equity,1500000,,,,
